Sale_ID,Date,Book_ID,Title,Author,Genre,Unit_Price,Quantity,Revenue
S0001,2025-08-27,B023,The Kite Runner,Khaled Hosseini,Fiction,475.0,2,950.0
S0002,2025-02-01,B026,The Power of Now,Eckhart Tolle,Self-Help,499.0,3,1497.0
S0003,2025-07-12,B003,Ikigai,Hector Garcia,Self-Help,449.0,4,1796.0
S0004,2025-09-19,B023,The Kite Runner,Khaled Hosseini,Fiction,475.0,4,1900.0
S0005,2025-11-03,B003,Ikigai,Hector Garcia,Self-Help,449.0,2,898.0
S0006,2025-03-08,B011,Steve Jobs,Walter Isaacson,Biography,799.0,4,3196.0
S0007,2025-05-27,B019,The Hobbit,J.R.R. Tolkien,Fantasy,499.0,4,1996.0
S0008,2025-06-14,B013,Think and Grow Rich,Napoleon Hill,Self-Help,375.0,1,375.0
S0009,2025-11-21,B016,Python Crash Course,Eric Matthes,Technology,799.0,1,799.0
S0010,2025-04-12,B025,Cosmos,Carl Sagan,Science,725.0,3,2175.0
S0011,2025-09-13,B023,The Kite Runner,Khaled Hosseini,Fiction,475.0,2,950.0
S0012,2025-06-12,B030,The Lean Startup,Eric Ries,Business,599.0,4,2396.0
S0013,2025-10-05,B023,The Kite Runner,Khaled Hosseini,Fiction,475.0,1,475.0
S0014,2025-07-01,B014,The Intelligent Investor,Benjamin Graham,Finance,850.0,1,850.0
S0015,2025-09-29,B004,Rich Dad Poor Dad,Robert Kiyosaki,Finance,499.0,3,1497.0
S0016,2025-05-14,B022,Pride and Prejudice,Jane Austen,Classic,399.0,4,1596.0
S0017,2025-11-27,B009,Sapiens,Yuval Noah Harari,History,699.0,2,1398.0
S0018,2025-10-18,B014,The Intelligent Investor,Benjamin Graham,Finance,850.0,1,850.0
S0019,2025-09-08,B003,Ikigai,Hector Garcia,Self-Help,449.0,2,898.0
S0020,2025-07-26,B006,1984,George Orwell,Fiction,299.0,3,897.0
S0021,2025-02-28,B013,Think and Grow Rich,Napoleon Hill,Self-Help,375.0,4,1500.0
S0022,2025-02-05,B021,Dune,Frank Herbert,Fantasy,550.0,2,1100.0
S0023,2025-06-08,B026,The Power of Now,Eckhart Tolle,Self-Help,499.0,4,1996.0
S0024,2025-11-24,B012,Deep Work,Cal Newport,Productivity,525.0,2,1050.0
S0025,2025-08-21,B020,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,599.0,1,599.0
S0026,2025-10-21,B005,The Psychology of Money,Morgan Housel,Finance,550.0,1,550.0
S0027,2025-10-12,B024,A Brief History of Time,Stephen Hawking,Science,650.0,3,1950.0
S0028,2025-04-12,B021,Dune,Frank Herbert,Fantasy,550.0,4,2200.0
S0029,2025-07-04,B014,The Intelligent Investor,Benjamin Graham,Finance,850.0,3,2550.0
S0030,2025-03-31,B004,Rich Dad Poor Dad,Robert Kiyosaki,Finance,499.0,1,499.0
S0031,2025-08-27,B020,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,599.0,2,1198.0
S0032,2025-01-29,B017,Automate the Boring Stuff,Al Sweigart,Technology,650.0,4,2600.0
S0033,2025-07-26,B019,The Hobbit,J.R.R. Tolkien,Fantasy,499.0,3,1497.0
S0034,2025-10-18,B017,Automate the Boring Stuff,Al Sweigart,Technology,650.0,2,1300.0
S0035,2025-05-07,B001,The Alchemist,Paulo Coelho,Fiction,399.0,2,798.0
S0036,2025-04-11,B005,The Psychology of Money,Morgan Housel,Finance,550.0,2,1100.0
S0037,2025-01-13,B026,The Power of Now,Eckhart Tolle,Self-Help,499.0,1,499.0
S0038,2025-11-09,B002,Atomic Habits,James Clear,Self-Help,599.0,2,1198.0
S0039,2025-06-08,B008,The Great Gatsby,F. Scott Fitzgerald,Fiction,325.0,3,975.0
S0040,2025-07-04,B017,Automate the Boring Stuff,Al Sweigart,Technology,650.0,4,2600.0
S0041,2025-05-30,B020,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,599.0,2,1198.0
S0042,2025-04-28,B025,Cosmos,Carl Sagan,Science,725.0,1,725.0
S0043,2025-02-08,B001,The Alchemist,Paulo Coelho,Fiction,399.0,1,399.0
S0044,2025-09-12,B021,Dune,Frank Herbert,Fantasy,550.0,2,1100.0
S0045,2025-11-25,B004,Rich Dad Poor Dad,Robert Kiyosaki,Finance,499.0,3,1497.0
S0046,2025-07-01,B004,Rich Dad Poor Dad,Robert Kiyosaki,Finance,499.0,3,1497.0
S0047,2025-03-02,B013,Think and Grow Rich,Napoleon Hill,Self-Help,375.0,2,750.0
S0048,2025-09-07,B009,Sapiens,Yuval Noah Harari,History,699.0,3,2097.0
S0049,2025-12-17,B011,Steve Jobs,Walter Isaacson,Biography,799.0,1,799.0
S0050,2025-05-04,B003,Ikigai,Hector Garcia,Self-Help,449.0,4,1796.0
S0051,2025-06-30,B028,Zero to One,Peter Thiel,Business,499.0,3,1497.0
S0052,2025-10-06,B007,To Kill a Mockingbird,Harper Lee,Fiction,350.0,4,1400.0
S0053,2025-04-06,B023,The Kite Runner,Khaled Hosseini,Fiction,475.0,3,1425.0
S0054,2025-09-26,B013,Think and Grow Rich,Napoleon Hill,Self-Help,375.0,2,750.0
S0055,2025-06-13,B003,Ikigai,Hector Garcia,Self-Help,449.0,4,1796.0
S0056,2025-09-14,B014,The Intelligent Investor,Benjamin Graham,Finance,850.0,1,850.0
S0057,2025-10-23,B009,Sapiens,Yuval Noah Harari,History,699.0,3,2097.0
